rank,id,name,section,solves,attempts,url
172,2207,Grundy's Game,Mathematics,1850,2420,https://cses.fi/problemset/task/2207
173,2077,Necessary Cities,Advanced Techniques,1901,1988,https://cses.fi/problemset/task/2077
174,2103,Counting Patterns,String Algorithms,1920,2376,https://cses.fi/problemset/task/2103
175,2210,Counting Grids,Mathematics,1929,2052,https://cses.fi/problemset/task/2210
176,3396,Next Prime,Mathematics,1963,2254,https://cses.fi/problemset/task/3396
177,2106,Repeating Substring,String Algorithms,1964,2279,https://cses.fi/problemset/task/2106
178,1757,Course Schedule II,Advanced Graph Problems,1972,2816,https://cses.fi/problemset/task/1757
179,2102,Finding Patterns,String Algorithms,2033,2863,https://cses.fi/problemset/task/2102
180,2076,Necessary Roads,Advanced Techniques,2053,2108,https://cses.fi/problemset/task/2076
181,1670,Swap Game,Additional Problems I,2054,2649,https://cses.fi/problemset/task/1670
182,3219,Sliding Window Mex,Sliding Window Problems,2077,2190,https://cses.fi/problemset/task/3219
183,2208,Another Game,Mathematics,2078,2240,https://cses.fi/problemset/task/2208
184,1740,Intersection Points,Geometry,2085,2247,https://cses.fi/problemset/task/1740
185,2419,Xor Pyramid Peak,Bitwise Operations,2101,2546,https://cses.fi/problemset/task/2419
186,1147,Maximum Building I,Additional Problems I,2103,2193,https://cses.fi/problemset/task/1147
187,2194,Minimum Euclidean Distance,Geometry,2124,3018,https://cses.fi/problemset/task/2194
188,2420,Palindrome Queries,String Algorithms,2162,2519,https://cses.fi/problemset/task/2420
189,3112,Hidden Integer,Interactive Problems,2177,2258,https://cses.fi/problemset/task/3112
190,1654,SOS Bit Problem,Bitwise Operations,2206,2344,https://cses.fi/problemset/task/1654
191,3224,Sliding Window Mode,Sliding Window Problems,2260,2390,https://cses.fi/problemset/task/3224
192,1756,Acyclic Graph Edges,Advanced Graph Problems,2261,2396,https://cses.fi/problemset/task/1756
193,2101,New Roads Queries,Advanced Techniques,2308,2791,https://cses.fi/problemset/task/2101
194,2209,Counting Necklaces,Mathematics,2324,2516,https://cses.fi/problemset/task/2209
195,2137,Corner Subgrid Count,Advanced Techniques,2325,2607,https://cses.fi/problemset/task/2137
196,1188,Bit Inversions,Additional Problems I,2351,2662,https://cses.fi/problemset/task/1188
197,2138,Reachable Nodes,Advanced Techniques,2391,2571,https://cses.fi/problemset/task/2138
198,2193,Polygon Lattice Points,Geometry,2476,2558,https://cses.fi/problemset/task/2193
199,2187,Bracket Sequences II,Mathematics,2551,2911,https://cses.fi/problemset/task/2187
200,1099,Stair Game,Mathematics,2655,2884,https://cses.fi/problemset/task/1099
201,3222,Sliding Window Distinct Values,Sliding Window Problems,2742,3388,https://cses.fi/problemset/task/3222
202,2416,Increasing Array Queries,Range Queries,2784,3181,https://cses.fi/problemset/task/2416
203,2192,Point in Polygon,Geometry,2930,3730,https://cses.fi/problemset/task/2192
204,1689,Knight's Tour,Graph Algorithms,2931,3538,https://cses.fi/problemset/task/1689
